CPUUtilization,DiskReadOps,DiskWriteOps,NetworkIn,NetworkOut
52.52,1155.0,1276.0,35006.0,47266.0
37.29,694.0,1495.0,21459.0,24759.0
25.33,519.0,972.0,44606.0,1824.0
80.49,1446.0,1203.0,34514.0,39257.0
65.81,852.0,602.0,29959.0,37474.0
58.06,638.0,581.0,15735.0,28233.0
63.1,925.0,1325.0,31803.0,15676.0
11.84,988.0,1416.0,45985.0,1351.0
87.4,1024.0,700.0,36974.0,19819.0
70.32,987.0,1234.0,23995.0,1720.0
49.91,1017.0,904.0,38959.0,39023.0
49.31,764.0,1271.0,24783.0,23592.0
61.77,1223.0,1257.0,5023.0,35877.0
21.76,1323.0,1051.0,40560.0,29582.0
62.13,1351.0,725.0,35051.0,15317.0
66.64,663.0,696.0,39211.0,39887.0
79.68,1424.0,1325.0,16018.0,13447.0
51.13,696.0,1339.0,27022.0,40357.0
77.14,1251.0,876.0,42679.0,17938.0
78.28,613.0,835.0,3454.0,46139.0
67.72,1298.0,680.0,1955.0,28984.0
58.34,1298.0,1457.0,4681.0,7132.0
25.64,754.0,636.0,18709.0,40244.0
58.47,741.0,946.0,5927.0,38920.0
50.69,813.0,1260.0,49416.0,3649.0
49.23,773.0,680.0,24395.0,39652.0
62.82,1110.0,502.0,18664.0,48088.0
15.19,572.0,1330.0,17251.0,41138.0
45.2,1315.0,1030.0,24149.0,17204.0
21.4,1062.0,1012.0,30665.0,22926.0
73.62,812.0,1236.0,26044.0,24096.0
16.8,1028.0,1258.0,27420.0,23952.0
87.81,1050.0,1399.0,20603.0,49341.0
17.09,1466.0,797.0,20233.0,41947.0
50.64,1156.0,970.0,33337.0,14334.0
79.47,715.0,805.0,47236.0,43537.0
43.81,1291.0,732.0,10499.0,12320.0
88.85,1264.0,1286.0,38528.0,26729.0
67.83,1155.0,848.0,13580.0,4085.0
53.64,634.0,502.0,26873.0,14791.0
52.49,787.0,708.0,13884.0,19681.0
25.66,862.0,1469.0,33931.0,30543.0
30.32,1060.0,816.0,39841.0,35795.0
21.98,1255.0,1497.0,48422.0,48564.0
61.21,916.0,500.0,28851.0,2978.0
58.85,920.0,904.0,10514.0,35345.0
33.96,764.0,996.0,3671.0,24672.0
65.4,871.0,548.0,15300.0,4027.0
35.11,1340.0,1205.0,13497.0,13857.0
60.97,898.0,1108.0,12812.0,29203.0
44.78,1332.0,1386.0,32286.0,27009.0
83.75,562.0,1045.0,34905.0,38541.0
68.26,1389.0,1271.0,8725.0,28693.0
89.71,1105.0,1486.0,16626.0,45997.0
22.15,1224.0,1461.0,24902.0,44934.0
37.64,706.0,863.0,15503.0,1505.0
66.6,1145.0,807.0,23465.0,47355.0
29.29,1371.0,1125.0,4035.0,32607.0
58.49,1325.0,1384.0,7976.0,43245.0
46.24,529.0,1065.0,14286.0,26031.0
39.0,1345.0,553.0,9782.0,29023.0
57.04,635.0,1248.0,35395.0,5362.0
16.04,719.0,862.0,11137.0,43371.0
85.8,710.0,1387.0,4994.0,40729.0
48.41,786.0,1379.0,1215.0,40984.0
87.76,1077.0,703.0,47191.0,46187.0
33.53,1363.0,961.0,21898.0,45140.0
85.09,542.0,686.0,26078.0,21576.0
33.77,1165.0,580.0,10652.0,10224.0
28.57,1286.0,935.0,24367.0,6032.0
35.55,1365.0,633.0,42579.0,14019.0
70.85,786.0,1217.0,45759.0,48266.0
52.48,968.0,1304.0,39460.0,37463.0
66.94,703.0,585.0,4240.0,12591.0
53.59,1448.0,1406.0,8914.0,19249.0
46.52,698.0,666.0,30922.0,14748.0
45.14,1086.0,897.0,20461.0,33988.0
78.8,1417.0,623.0,13810.0,21107.0
73.96,1238.0,1390.0,26382.0,14032.0
24.51,1190.0,1308.0,38893.0,9167.0
34.99,1014.0,1212.0,40603.0,48246.0
88.19,794.0,871.0,32106.0,47247.0
14.96,520.0,1461.0,11804.0,39219.0
54.29,796.0,988.0,41532.0,22719.0
87.07,680.0,917.0,40697.0,39618.0
38.29,672.0,606.0,43977.0,48190.0
74.73,1153.0,622.0,19589.0,18698.0
33.31,779.0,1260.0,3633.0,4608.0
30.31,1133.0,822.0,47802.0,21937.0
60.46,831.0,991.0,43931.0,25670.0
14.76,1438.0,831.0,49574.0,13502.0
84.03,542.0,633.0,32851.0,8050.0
74.23,955.0,687.0,11177.0,21007.0
43.48,993.0,804.0,41056.0,27737.0
80.45,825.0,979.0,22786.0,29855.0
59.2,1317.0,1447.0,5210.0,15721.0
82.71,885.0,687.0,10625.0,37739.0
31.52,1137.0,1322.0,46090.0,32870.0
35.38,1393.0,812.0,19845.0,14813.0
81.68,921.0,1077.0,14758.0,14620.0
52.49,1021.0,621.0,37043.0,7998.0
31.88,865.0,1154.0,36476.0,1655.0
24.35,799.0,912.0,49426.0,47781.0
74.4,573.0,813.0,27837.0,21017.0
47.37,1128.0,1173.0,16105.0,22972.0
26.14,1371.0,700.0,35528.0,16178.0
51.1,542.0,974.0,43569.0,42743.0
15.89,623.0,568.0,31770.0,37727.0
46.06,689.0,1485.0,17718.0,18555.0
12.82,1302.0,1088.0,40519.0,7213.0
84.3,950.0,1067.0,8219.0,43816.0
78.19,659.0,1353.0,35410.0,47987.0
60.95,1423.0,1094.0,29860.0,8613.0
45.56,540.0,1205.0,28925.0,36403.0
79.89,1184.0,848.0,41779.0,8528.0
37.41,890.0,595.0,13062.0,38706.0
37.57,1432.0,881.0,49571.0,23791.0
88.83,1426.0,1182.0,13652.0,44260.0
69.51,1497.0,1409.0,12930.0,27037.0
46.72,1207.0,1226.0,16940.0,27022.0
47.16,980.0,518.0,45840.0,28758.0
18.51,607.0,1214.0,18025.0,36523.0
27.84,1486.0,1339.0,17998.0,37284.0
89.21,1248.0,1496.0,19256.0,40313.0
38.14,1384.0,1356.0,33201.0,39862.0
55.87,1482.0,1245.0,49649.0,21008.0
52.69,921.0,1424.0,25911.0,28749.0
11.74,1397.0,1382.0,37027.0,46652.0
28.8,1236.0,1092.0,18319.0,12476.0
68.79,1499.0,639.0,15530.0,28446.0
55.92,1064.0,574.0,21485.0,49371.0
11.33,1046.0,997.0,35290.0,39049.0
69.2,1106.0,856.0,49665.0,24593.0
38.94,766.0,833.0,43984.0,16664.0
16.34,1136.0,697.0,15066.0,41126.0
39.52,1475.0,1125.0,6616.0,7383.0
62.65,1216.0,584.0,49702.0,26751.0
13.32,677.0,960.0,30190.0,39583.0
44.45,1387.0,821.0,36758.0,12004.0
30.24,655.0,1488.0,4650.0,2822.0
88.89,1280.0,658.0,27833.0,28086.0
81.09,1268.0,1453.0,17712.0,15898.0
74.68,892.0,885.0,41555.0,29687.0
39.34,1153.0,681.0,38949.0,6086.0
61.47,1088.0,649.0,8344.0,26616.0
22.43,1003.0,1408.0,33975.0,28866.0
35.6,612.0,1101.0,42229.0,14123.0
23.35,1452.0,884.0,46506.0,12612.0
34.67,1412.0,1180.0,12365.0,8325.0
61.88,502.0,1326.0,15858.0,38034.0
25.36,1274.0,1277.0,28940.0,47610.0
68.08,1136.0,548.0,17140.0,9779.0
15.51,1185.0,992.0,35877.0,21014.0
88.75,676.0,1034.0,23121.0,40256.0
64.17,937.0,596.0,3913.0,7522.0
77.91,717.0,768.0,11453.0,30646.0
23.31,915.0,1042.0,15962.0,17667.0
79.7,704.0,847.0,44041.0,2168.0
21.54,649.0,923.0,33502.0,8403.0
87.15,512.0,1234.0,9642.0,35945.0
16.62,1449.0,1489.0,9351.0,36935.0
48.27,1246.0,986.0,23760.0,48756.0
16.07,1047.0,880.0,42452.0,9808.0
37.05,1448.0,611.0,19309.0,28130.0
57.3,852.0,551.0,8037.0,26198.0
49.63,1493.0,1020.0,46364.0,25426.0
78.72,1382.0,658.0,35540.0,43114.0
88.07,1420.0,599.0,7959.0,40927.0
11.37,1401.0,1493.0,32698.0,44945.0
66.69,1294.0,680.0,34395.0,15061.0
58.55,1186.0,1290.0,47467.0,34139.0
34.4,1025.0,898.0,26706.0,36915.0
27.69,866.0,708.0,39773.0,48677.0
80.42,1477.0,1085.0,44052.0,23266.0
82.31,687.0,889.0,41874.0,47345.0
40.31,1351.0,623.0,41604.0,23734.0
15.61,1311.0,975.0,22692.0,11920.0
50.49,1008.0,1129.0,13844.0,35118.0
53.92,1358.0,704.0,21090.0,30367.0
84.7,668.0,1287.0,33685.0,11124.0
58.0,1476.0,564.0,36781.0,20003.0
64.92,803.0,1444.0,6660.0,2662.0
68.73,1081.0,1409.0,2471.0,44292.0
18.73,630.0,947.0,3473.0,46145.0
62.46,1341.0,622.0,41128.0,18004.0
42.51,1410.0,1497.0,34805.0,6392.0
87.3,1162.0,537.0,23576.0,10102.0
67.59,958.0,823.0,38316.0,49792.0
33.92,1418.0,1216.0,27510.0,28743.0
20.91,1087.0,574.0,26043.0,15707.0
68.68,714.0,617.0,19450.0,44309.0
71.31,1402.0,697.0,47732.0,11817.0
70.23,840.0,1044.0,1306.0,9927.0
76.2,1456.0,678.0,45155.0,15366.0
25.28,1233.0,959.0,41564.0,32459.0
55.6,803.0,566.0,21772.0,30757.0
13.2,947.0,1379.0,18207.0,36701.0
12.25,1469.0,571.0,23722.0,24035.0
38.67,1284.0,905.0,45832.0,34069.0
29.33,584.0,877.0,12883.0,20753.0
74.31,794.0,1454.0,42141.0,6114.0
25.72,731.0,818.0,19914.0,12322.0
88.79,887.0,868.0,43859.0,47168.0
52.12,982.0,753.0,22745.0,9114.0
88.39,1341.0,1194.0,39206.0,33578.0
56.15,609.0,1327.0,6374.0,15659.0
79.35,628.0,834.0,16768.0,11568.0
13.44,903.0,1215.0,47500.0,32426.0
41.86,798.0,695.0,18550.0,3964.0
66.97,714.0,695.0,24876.0,16099.0
19.89,613.0,1052.0,37467.0,44494.0
47.56,550.0,783.0,19298.0,5011.0
78.32,1087.0,1428.0,28475.0,30385.0
50.26,1037.0,928.0,38985.0,44363.0
79.89,669.0,1222.0,6580.0,45742.0
83.12,639.0,739.0,15170.0,17593.0
74.46,1142.0,1248.0,31780.0,27972.0
10.37,742.0,580.0,32065.0,4465.0
53.29,1349.0,770.0,28328.0,16855.0
59.23,1373.0,840.0,33766.0,15432.0
79.96,1271.0,1464.0,8794.0,4273.0
82.16,1033.0,1198.0,48195.0,19232.0
85.55,664.0,713.0,41207.0,38188.0
58.36,677.0,803.0,15864.0,26723.0
67.8,1336.0,1377.0,15999.0,45499.0
47.6,1055.0,1410.0,38693.0,26736.0
58.14,1171.0,539.0,11376.0,49399.0
41.46,1165.0,605.0,3480.0,29913.0
43.19,984.0,803.0,4522.0,31309.0
39.3,772.0,969.0,42345.0,21325.0
23.66,804.0,641.0,7105.0,27086.0
80.66,841.0,527.0,22804.0,22278.0
18.41,1289.0,1264.0,1665.0,40219.0
79.61,1296.0,1292.0,43741.0,33463.0
89.17,1069.0,1195.0,39601.0,43191.0
64.9,936.0,1212.0,49435.0,4597.0
56.21,730.0,1392.0,8500.0,6922.0
37.96,1189.0,1366.0,37594.0,41196.0
50.39,780.0,1253.0,8768.0,12094.0
80.94,1166.0,722.0,14799.0,45159.0
85.85,587.0,1433.0,23895.0,9566.0
20.75,877.0,1175.0,8214.0,27881.0
82.08,837.0,1472.0,3021.0,8276.0
79.1,1414.0,919.0,42075.0,21806.0
85.27,1264.0,638.0,49491.0,43123.0
46.72,1440.0,1186.0,6388.0,35508.0
20.7,1307.0,1266.0,15028.0,46034.0
16.88,929.0,1178.0,13123.0,45847.0
74.79,1366.0,600.0,11619.0,9059.0
49.13,529.0,832.0,26575.0,29935.0
29.4,1265.0,1232.0,12477.0,22525.0
33.08,1251.0,966.0,32378.0,5148.0
74.2,1078.0,721.0,41796.0,7555.0
65.46,675.0,1184.0,40440.0,47793.0
14.73,1065.0,1208.0,14630.0,47856.0
52.16,806.0,698.0,30039.0,42655.0
14.97,1298.0,835.0,40150.0,32306.0
21.26,1250.0,593.0,40317.0,30818.0
27.1,528.0,1379.0,47963.0,10071.0
20.12,950.0,1138.0,31557.0,22173.0
22.21,840.0,1253.0,47008.0,30764.0
19.78,1382.0,673.0,11513.0,43462.0
13.83,1277.0,748.0,23542.0,26003.0
37.45,1304.0,1397.0,40242.0,20729.0
23.53,1209.0,611.0,16901.0,42021.0
80.54,692.0,1192.0,17598.0,6774.0
82.35,981.0,640.0,39633.0,33935.0
44.72,890.0,1438.0,12494.0,4505.0
56.47,1436.0,558.0,24595.0,37730.0
66.15,698.0,882.0,2438.0,13614.0
85.24,1448.0,1414.0,12543.0,7951.0
81.68,1481.0,1137.0,32737.0,37662.0
42.54,805.0,796.0,44679.0,32955.0
15.04,1245.0,806.0,5495.0,19689.0
74.91,557.0,1151.0,42986.0,49722.0
51.15,674.0,901.0,20716.0,47980.0
21.7,914.0,1490.0,3679.0,6404.0
36.82,1174.0,1461.0,26710.0,29297.0
32.73,815.0,1476.0,9404.0,26284.0
22.54,1324.0,858.0,31807.0,2744.0
16.25,1368.0,1389.0,43975.0,22552.0
11.27,885.0,641.0,3646.0,7856.0
72.55,512.0,1101.0,13973.0,16501.0
58.31,609.0,1218.0,28042.0,20023.0
83.98,1328.0,1422.0,10697.0,3902.0
54.12,1493.0,1427.0,37762.0,9119.0
65.6,781.0,859.0,5144.0,19655.0
65.81,552.0,969.0,17074.0,12547.0
16.78,924.0,1370.0,38456.0,30211.0
83.17,984.0,1353.0,14921.0,28150.0
42.02,1328.0,1132.0,29392.0,29035.0
30.01,1019.0,1406.0,5501.0,34722.0
46.58,1170.0,844.0,36269.0,12934.0
87.43,930.0,570.0,37591.0,30802.0
62.33,864.0,906.0,27240.0,48254.0
82.3,1490.0,1079.0,46171.0,12631.0
59.48,882.0,1368.0,43204.0,44717.0
44.37,735.0,652.0,9937.0,34707.0
16.56,1427.0,1413.0,44209.0,7088.0
76.1,1450.0,683.0,1135.0,47936.0
55.17,1457.0,900.0,40692.0,34222.0
81.94,1374.0,528.0,9037.0,33186.0
87.11,1432.0,711.0,18434.0,32368.0
40.72,1205.0,1083.0,6710.0,21502.0
81.95,1467.0,1494.0,43957.0,43075.0
70.43,1120.0,1293.0,9577.0,4639.0
67.58,817.0,1050.0,49753.0,8696.0
70.4,553.0,814.0,44620.0,42741.0
28.65,609.0,1400.0,13918.0,8431.0
65.52,984.0,1136.0,39489.0,46501.0
78.26,676.0,1060.0,8690.0,41578.0
39.85,1434.0,1366.0,21311.0,4110.0
30.24,1379.0,1131.0,5763.0,42000.0
81.53,1252.0,675.0,27863.0,47102.0
65.11,1465.0,860.0,4270.0,31792.0
35.57,545.0,778.0,1518.0,31254.0
47.85,1271.0,1325.0,34603.0,2414.0
19.13,703.0,1403.0,7621.0,47334.0
29.64,713.0,1163.0,30487.0,48487.0
33.09,1253.0,1124.0,49394.0,41620.0
83.75,1331.0,1091.0,25538.0,7619.0
48.85,1255.0,741.0,21379.0,5790.0
54.87,775.0,840.0,34471.0,19480.0
70.21,1500.0,1397.0,22685.0,4289.0
56.19,561.0,574.0,23000.0,38296.0
63.69,868.0,1385.0,40817.0,26665.0
13.5,1306.0,1432.0,29528.0,39462.0
16.46,674.0,528.0,27262.0,34155.0
56.08,604.0,1285.0,44686.0,7719.0
40.78,1079.0,1124.0,26359.0,44067.0
13.29,1304.0,593.0,11469.0,37490.0
82.28,880.0,1054.0,3190.0,31600.0
27.29,719.0,1435.0,33554.0,34599.0
40.74,569.0,558.0,9985.0,40149.0
38.88,824.0,1179.0,37289.0,44694.0
79.51,1240.0,784.0,13968.0,37771.0
16.39,1013.0,538.0,12535.0,25771.0
88.35,1275.0,800.0,25826.0,35899.0
46.13,1098.0,1467.0,9427.0,40111.0
42.19,1413.0,755.0,25807.0,35768.0
36.85,1069.0,1421.0,13321.0,15471.0
89.93,574.0,507.0,39221.0,16078.0
32.52,667.0,1416.0,24756.0,19125.0
34.62,513.0,573.0,44724.0,8500.0
70.75,532.0,943.0,29243.0,33345.0
23.19,1202.0,1203.0,11348.0,14786.0
78.88,626.0,836.0,3431.0,38205.0
13.44,1247.0,980.0,15329.0,31324.0
57.67,886.0,924.0,14305.0,41443.0
12.92,863.0,883.0,8761.0,14008.0
85.07,1105.0,685.0,4642.0,26271.0
55.08,901.0,1020.0,23302.0,11890.0
10.81,1239.0,1447.0,15007.0,48631.0
56.47,701.0,1009.0,6081.0,3328.0
35.53,880.0,876.0,17026.0,17643.0
33.9,508.0,1271.0,34793.0,47615.0
30.21,1091.0,879.0,40749.0,37452.0
65.81,1288.0,1372.0,29359.0,13431.0
28.59,865.0,529.0,33224.0,40243.0
53.39,1014.0,923.0,45102.0,14878.0
68.54,817.0,627.0,14250.0,11043.0
29.78,1447.0,609.0,5329.0,17236.0
48.54,1299.0,1261.0,41250.0,45738.0
20.99,1301.0,745.0,42248.0,23877.0
43.29,564.0,1011.0,22376.0,19012.0
25.67,1381.0,1369.0,2062.0,49661.0
59.15,1164.0,573.0,44103.0,26238.0
82.99,1101.0,745.0,1771.0,32531.0
33.82,1374.0,997.0,43792.0,5215.0
65.58,1022.0,712.0,28264.0,4638.0
40.51,643.0,535.0,41994.0,31382.0
83.41,1228.0,798.0,10704.0,44637.0
38.67,1273.0,1319.0,24187.0,39484.0
59.81,807.0,1163.0,24065.0,10631.0
80.71,668.0,1034.0,10986.0,29494.0
63.89,1277.0,846.0,20548.0,15427.0
16.92,664.0,1016.0,29390.0,19682.0
59.25,1352.0,895.0,42605.0,6322.0
23.21,750.0,792.0,8354.0,40089.0
32.39,802.0,629.0,41475.0,44513.0
63.63,554.0,833.0,10639.0,24243.0
31.72,1225.0,952.0,45459.0,12184.0
36.88,1037.0,1130.0,19745.0,4385.0
38.74,638.0,1115.0,14523.0,16405.0
30.81,1438.0,1190.0,32561.0,47267.0
24.23,873.0,654.0,33464.0,43086.0
66.13,1144.0,912.0,19334.0,40888.0
80.65,1002.0,1107.0,22831.0,11850.0
13.65,725.0,983.0,5908.0,28905.0
23.71,1078.0,1167.0,38992.0,38677.0
67.98,589.0,1258.0,8979.0,7566.0
21.6,808.0,1441.0,42623.0,27003.0
32.08,1179.0,959.0,21897.0,13232.0
59.02,1450.0,863.0,10181.0,21048.0
68.5,1037.0,796.0,27361.0,25017.0
44.01,1146.0,1467.0,43177.0,28194.0
35.45,1169.0,1017.0,40923.0,24571.0
30.15,888.0,1311.0,20636.0,40238.0
27.22,1118.0,1085.0,32831.0,11297.0
55.29,1150.0,789.0,3424.0,25150.0
18.51,1171.0,1384.0,45265.0,28774.0
62.96,1020.0,1011.0,4875.0,31747.0
19.06,1287.0,871.0,20006.0,44150.0
24.47,1399.0,798.0,19504.0,27737.0
82.43,1482.0,1339.0,36227.0,15190.0
77.71,511.0,1319.0,37543.0,6016.0
42.93,1233.0,1096.0,26735.0,17007.0
68.8,1298.0,782.0,4218.0,29264.0
18.88,1006.0,1290.0,7078.0,6037.0
41.05,1016.0,1449.0,5089.0,48994.0
85.54,1311.0,1435.0,22938.0,39496.0
81.57,771.0,1325.0,1971.0,32350.0
70.61,1256.0,1115.0,10857.0,13373.0
45.98,940.0,689.0,43735.0,36497.0
17.91,989.0,1446.0,35577.0,15900.0
72.23,1316.0,1500.0,44772.0,45427.0
64.87,1437.0,1385.0,37329.0,9430.0
52.66,1101.0,1224.0,24888.0,43855.0
33.49,1487.0,1252.0,2484.0,32713.0
66.13,1255.0,1174.0,34606.0,24324.0
80.66,750.0,1350.0,5144.0,26495.0
88.96,1225.0,1062.0,46935.0,3228.0
44.81,544.0,955.0,43442.0,46698.0
30.98,1143.0,1191.0,2857.0,10607.0
40.39,845.0,791.0,5338.0,24438.0
36.3,1378.0,1320.0,41875.0,12474.0
11.07,1291.0,1437.0,49055.0,6641.0
60.12,1349.0,691.0,28875.0,10249.0
13.55,791.0,1176.0,7089.0,16785.0
59.58,1037.0,911.0,40888.0,23151.0
62.63,1079.0,1188.0,45054.0,19152.0
12.08,537.0,1485.0,18735.0,42508.0
51.2,1040.0,826.0,3214.0,13583.0
73.12,721.0,697.0,18753.0,26542.0
18.03,807.0,566.0,8584.0,44170.0
43.02,1369.0,507.0,27598.0,49234.0
59.85,1095.0,1315.0,11590.0,7723.0
12.05,773.0,734.0,23586.0,25366.0
24.33,786.0,990.0,12221.0,10036.0
54.22,552.0,570.0,25159.0,47443.0
81.7,1201.0,899.0,34932.0,11329.0
49.12,1370.0,619.0,4342.0,7841.0
73.03,1376.0,826.0,8690.0,8060.0
25.56,1071.0,644.0,12430.0,39751.0
26.32,1236.0,571.0,44419.0,20915.0
56.85,1036.0,796.0,24401.0,48676.0
57.57,1399.0,519.0,1189.0,47090.0
62.97,909.0,595.0,7005.0,16127.0
45.69,563.0,1346.0,18325.0,40290.0
48.87,1277.0,1408.0,33776.0,27882.0
31.81,504.0,1185.0,28176.0,14399.0
42.24,1060.0,614.0,24817.0,34342.0
73.61,1451.0,1060.0,44287.0,31756.0
48.6,702.0,1201.0,28574.0,41936.0
17.31,1121.0,720.0,25271.0,27773.0
40.04,1068.0,709.0,22867.0,19040.0
78.53,1185.0,505.0,4845.0,48983.0
27.78,987.0,554.0,1009.0,40225.0
84.42,1498.0,1434.0,40240.0,38618.0
34.14,1095.0,814.0,31472.0,36635.0
29.58,1091.0,502.0,9585.0,41302.0
18.88,1129.0,1258.0,36975.0,19708.0
13.07,979.0,931.0,49410.0,49682.0
49.56,1272.0,500.0,35212.0,33446.0
74.37,972.0,547.0,27337.0,9009.0
84.47,678.0,1386.0,35265.0,13292.0
46.33,1206.0,595.0,2463.0,15870.0
43.01,743.0,663.0,29997.0,20958.0
89.78,1102.0,681.0,39612.0,13559.0
87.45,1418.0,1072.0,45031.0,47448.0
12.53,973.0,1289.0,19600.0,34431.0
32.85,1295.0,1400.0,30125.0,24385.0
81.43,1191.0,1107.0,22120.0,33452.0
48.14,1018.0,1411.0,46999.0,34990.0
37.37,1027.0,508.0,8388.0,1384.0
69.42,720.0,564.0,39584.0,26455.0
55.58,1014.0,1402.0,10160.0,46339.0
45.53,1420.0,1446.0,25350.0,42303.0
43.19,1000.0,1106.0,12440.0,2384.0
34.17,1428.0,958.0,32203.0,17056.0
70.67,939.0,1241.0,32314.0,39019.0
77.07,862.0,1377.0,4064.0,32645.0
25.67,609.0,880.0,8240.0,41819.0
25.24,1021.0,577.0,6919.0,29384.0
64.42,1170.0,1308.0,40767.0,46853.0
86.45,775.0,1247.0,5366.0,48641.0
32.37,1107.0,696.0,38921.0,21364.0
17.21,1395.0,1441.0,41587.0,6627.0
54.99,719.0,1388.0,48844.0,27784.0
34.65,509.0,872.0,18099.0,41607.0
19.64,1453.0,1336.0,31308.0,45191.0
58.98,587.0,561.0,19754.0,38382.0
87.32,1175.0,1373.0,10886.0,45158.0
83.05,1294.0,1069.0,21502.0,2993.0
30.51,956.0,1098.0,27955.0,16043.0
39.45,1394.0,730.0,1527.0,43292.0
50.3,604.0,952.0,13001.0,31598.0
70.93,1413.0,1406.0,46408.0,24652.0
16.16,1287.0,1368.0,15784.0,24380.0
44.39,1428.0,779.0,8085.0,28427.0
65.68,1091.0,570.0,9852.0,39921.0
72.69,987.0,1115.0,22779.0,38126.0
44.5,1038.0,1498.0,46083.0,2947.0
60.95,1323.0,898.0,48602.0,29202.0
70.98,537.0,617.0,5394.0,49443.0
30.75,1024.0,678.0,28601.0,10643.0
49.58,889.0,1001.0,36413.0,26589.0
49.75738126149189,188.0,523.0,273951.50619946094,523396.9526684636
32.13,1299.0,1171.0,27726.0,45517.0
10.93,500.0,1436.0,36614.0,25501.0
89.13,698.0,1360.0,15298.0,21411.0
18.21,924.0,537.0,24854.0,23065.0
29.24,905.0,1311.0,3393.0,18080.0
21.55,1476.0,1375.0,15665.0,10658.0
70.44,1007.0,1467.0,47002.0,23949.0
45.31,931.0,1201.0,10606.0,38518.0
52.42,1014.0,1357.0,12244.0,42931.0
60.43,1121.0,696.0,43744.0,22751.0
49.9,1404.0,1407.0,15511.0,33948.0
12.98,1385.0,529.0,9395.0,19820.0
12.11,659.0,1087.0,44385.0,41783.0
61.87,918.0,766.0,11844.0,46771.0
44.13,1117.0,502.0,46525.0,13208.0
12.09,813.0,1154.0,17196.0,10124.0
47.74,846.0,580.0,40312.0,39306.0
37.7,897.0,1175.0,28512.0,47199.0
25.74,595.0,765.0,10357.0,36278.0
15.54,1404.0,1455.0,34792.0,19154.0
17.65,823.0,1134.0,10119.0,16135.0
31.91,788.0,813.0,7824.0,16929.0
36.42,1365.0,1092.0,44532.0,2057.0
15.65,1135.0,617.0,1524.0,22309.0
21.88,1437.0,714.0,22476.0,28338.0
13.95,711.0,615.0,37427.0,33337.0
64.49,1272.0,1494.0,30254.0,32223.0
46.79,1108.0,880.0,22226.0,19398.0
27.49,564.0,560.0,2051.0,23408.0
28.42,933.0,626.0,9893.0,45559.0
37.25,903.0,1393.0,9532.0,22514.0
11.94,619.0,676.0,19843.0,7859.0
34.5,1201.0,1155.0,13695.0,15012.0
44.51,804.0,525.0,9798.0,49386.0
29.11,1423.0,1302.0,36518.0,21903.0
17.47,1229.0,652.0,11446.0,49343.0
53.23,1168.0,1176.0,41839.0,5272.0
74.37,614.0,1260.0,20473.0,7729.0
35.64,786.0,1297.0,12831.0,20163.0
87.03,1296.0,714.0,22010.0,26750.0
81.27,1283.0,834.0,12699.0,18455.0
34.69,814.0,1353.0,47621.0,46729.0
59.77,1279.0,1303.0,45564.0,37109.0
18.96,1308.0,1334.0,30945.0,17391.0
30.58,1033.0,614.0,18633.0,28668.0
53.55,578.0,875.0,27861.0,42175.0
42.88,1136.0,1178.0,35208.0,22382.0
